interface,received-bytes,received-packets,received-errs,received-drop,received-fifo,received-frame,received-compressed,received-multicast,sent-bytes,sent-packets,sent-errs,sent-drop,sent-fifo,sent-colls,sent-carrier,sent-compressed,device,app,app_details,is_record,is_wireless,repetition
wlan0,1982858713,1547471,0,0,0,0,0,1496,222364324,505030,0,134,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2129062,38171,0,0,0,0,0,26,116821062,77691,0,27,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,1990516030,1554641,0,0,0,0,0,1512,224703513,509838,0,135,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2129062,38171,0,0,0,0,0,26,116821062,77691,0,27,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2003879012,1567212,0,0,0,0,0,1543,229161172,518502,0,139,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2129062,38171,0,0,0,0,0,26,116821062,77691,0,27,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2012498718,1574868,0,0,0,0,0,1555,231778957,523327,0,139,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2129062,38171,0,0,0,0,0,26,116821062,77691,0,27,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2013896441,1576844,0,0,0,0,0,1555,232989042,525237,0,139,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2129062,38171,0,0,0,0,0,26,116821062,77691,0,27,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2020011421,1582561,0,0,0,0,0,1579,235538687,529439,0,140,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2129062,38171,0,0,0,0,0,26,116821062,77691,0,27,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2031274415,1593123,0,0,0,0,0,1591,239223339,536644,0,141,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2184390,39235,0,0,0,0,0,26,119983666,79815,0,28,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
