CPU Level,GPU Level,CPU Frequency (MHz),GPU Frequency (MHz),FPS,Prd,Tear,Early,Stale,Stale2/5/10/max,VSnc,Lat,Fov,OC,TA,SP,Mem,Free,PLS,Temp,TW,App,GD,CPU&GPU,LCnt,GPU%,CPU%,DSF,CFL,ICFLp95,LD,SF,LP,DVFS,timestamp,experiment,device,repetition
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7886,0,31.5C/0.0C,3.41ms,0.72ms,0.25ms,13.86ms,2(DR0,0.34,0.08(W0.14),1.00,19.10/24.08,21.80,1,1.21,0,0,17:32:10.091,100,Quest-Pro,replay1.2
3,4,1382,525,72,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,7886,0,31.5C/0.0C,3.44ms,0.76ms,0.24ms,13.87ms,2(DR0,0.34,0.16(W0.29),1.00,18.82/22.58,21.43,1,1.21,0,0,17:32:11.091,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,5,2/0/0/3,1,0,0,FF,0/70/0,N/F/N,1555MHz,7886,0,31.5C/0.0C,3.46ms,0.74ms,0.24ms,13.14ms,2(DR0,0.34,0.08(W0.15),1.00,18.63/22.52,21.27,1,1.21,0,0,17:32:12.091,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,4,1/0/0/4,1,0,0,FF,0/70/0,N/F/N,1555MHz,7886,0,31.5C/0.0C,3.32ms,0.95ms,0.25ms,13.02ms,2(DR0,0.35,0.15(W0.19),1.00,18.52/22.26,21.25,1,1.21,0,0,17:32:13.092,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7886,0,31.5C/0.0C,3.44ms,1.00ms,0.24ms,13.12ms,2(DR0,0.36,0.08(W0.15),1.00,18.70/22.52,21.47,1,1.21,0,0,17:32:14.092,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,6,3/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,7886,0,31.5C/0.0C,3.39ms,0.89ms,0.24ms,13.12ms,2(DR0,0.35,0.08(W0.11),1.00,18.61/22.58,21.34,1,1.21,0,0,17:32:15.092,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7888,0,31.5C/0.0C,3.40ms,0.79ms,0.24ms,13.17ms,2(DR0,0.34,0.14(W0.19),1.00,18.61/22.55,21.39,1,1.21,0,0,17:32:16.100,100,Quest-Pro,replay1.2
3,4,1382,525,73,0ms,0,0,2,1/0/0/2,1,0,0,FF,0/70/0,N/F/N,1555MHz,7888,0,31.5C/0.0C,3.41ms,0.77ms,0.24ms,13.88ms,2(DR0,0.34,0.22(W0.29),1.00,18.30/26.28,25.65,1,1.21,0,0,17:32:17.092,100,Quest-Pro,replay1.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7888,0,31.5C/0.0C,3.44ms,0.74ms,0.25ms,13.87ms,2(DR0,0.34,0.16(W0.18),1.00,20.27/25.02,23.56,1,1.21,0,0,17:32:18.092,100,Quest-Pro,replay1.2
3,4,1382,525,72,0ms,0,0,0,0/0/0/0,1,0,0,FF,0/70/0,N/F/N,1555MHz,7888,0,31.5C/0.0C,3.42ms,0.75ms,0.24ms,13.86ms,2(DR0,0.34,0.09(W0.11),1.00,19.49/23.95,22.39,1,1.21,0,0,17:32:19.092,100,Quest-Pro,replay1.2
