log start time: 08-02-2024_03-56-03
2887954912 k /user/hand/left/output/haptic 1
2887954912 k /user/hand/right/output/haptic 1
2901838313 k /user/hand/left/output/haptic 1
2901838313 k /user/hand/right/output/haptic 1
2915727203 k /user/hand/left/output/haptic 1
2915727203 k /user/hand/right/output/haptic 1
2929609204 k /user/hand/left/output/haptic 1
2929609204 k /user/hand/right/output/haptic 1
2943493402 k /user/hand/left/output/haptic 1
2943493402 k /user/hand/right/output/haptic 1
2957376912 k /user/hand/left/output/haptic 1
2957376912 k /user/hand/right/output/haptic 1
2971259613 k /user/hand/left/output/haptic 1
2971259613 k /user/hand/right/output/haptic 1
2985148500 k /user/hand/left/output/haptic 1
2985148500 k /user/hand/right/output/haptic 1
2999032800 k /user/hand/left/output/haptic 1
2999032800 k /user/hand/right/output/haptic 1
3012912011 k /user/hand/left/output/haptic 1
3012912011 k /user/hand/right/output/haptic 1
3026800901 k /user/hand/left/output/haptic 1
3026800901 k /user/hand/right/output/haptic 1
3040689203 k /user/hand/left/output/haptic 1
3040689203 k /user/hand/right/output/haptic 1
3054567814 k /user/hand/left/output/haptic 1
3054567814 k /user/hand/right/output/haptic 1
3068453211 k /user/hand/left/output/haptic 1
3068453211 k /user/hand/right/output/haptic 1
3082342101 k /user/hand/left/output/haptic 1
3082342101 k /user/hand/right/output/haptic 1
3096223402 k /user/hand/left/output/haptic 1
3096223402 k /user/hand/right/output/haptic 1
3110107704 k /user/hand/left/output/haptic 1
3110107704 k /user/hand/right/output/haptic 1
3123996590 k /user/hand/left/output/haptic 1
3123996590 h /user/hand/right/output/haptic 1
3137873615 k /user/hand/left/output/haptic 1
3137873615 k /user/hand/right/output/haptic 1
3151762502 k /user/hand/left/output/haptic 1
3151762502 k /user/hand/right/output/haptic 1
3165651390 k /user/hand/left/output/haptic 1
3165651390 k /user/hand/right/output/haptic 1
3179531103 k /user/hand/left/output/haptic 1
3179531103 k /user/hand/right/output/haptic 1
3193416403 k /user/hand/left/output/haptic 1
3193416403 k /user/hand/right/output/haptic 1
3207298912 k /user/hand/left/output/haptic 1
3207298912 k /user/hand/right/output/haptic 1
3221180515 k /user/hand/left/output/haptic 1
3221180515 k /user/hand/right/output/haptic 1
3235063512 k /user/hand/left/output/haptic 1
3235063512 k /user/hand/right/output/haptic 1
3248951413 k /user/hand/left/output/haptic 1
3248951413 k /user/hand/right/output/haptic 1
3262838812 k /user/hand/left/output/haptic 1
3262838812 k /user/hand/right/output/haptic 1
3276718611 k /user/hand/left/output/haptic 1
3276718611 k /user/hand/right/output/haptic 1
3290605512 k /user/hand/left/output/haptic 1
3290605512 k /user/hand/right/output/haptic 1
3304489713 k /user/hand/left/output/haptic 1
3304489713 k /user/hand/right/output/haptic 1
3318372512 k /user/hand/left/output/haptic 1
3318372512 k /user/hand/right/output/haptic 1
3332258314 k /user/hand/left/output/haptic 1
3332258314 k /user/hand/right/output/haptic 1
3346144312 k /user/hand/left/output/haptic 1
3346144312 k /user/hand/right/output/haptic 1
3360032601 k /user/hand/left/output/haptic 1
3360032601 k /user/hand/right/output/haptic 1
3373913311 k /user/hand/left/output/haptic 1
3373913311 k /user/hand/right/output/haptic 1
3387800813 k /user/hand/left/output/haptic 1
3387800813 k /user/hand/right/output/haptic 1
3401680113 k /user/hand/left/output/haptic 1
3401680113 k /user/hand/right/output/haptic 1
3415564314 k /user/hand/left/output/haptic 1
3415564314 k /user/hand/right/output/haptic 1
3429453201 k /user/hand/left/output/haptic 1
3429453201 k /user/hand/right/output/haptic 1
3443338001 k /user/hand/left/output/haptic 1
3443338001 k /user/hand/right/output/haptic 1
3457222203 k /user/hand/left/output/haptic 1
3457222203 k /user/hand/right/output/haptic 1
3471106301 k /user/hand/left/output/haptic 1
3471106301 k /user/hand/right/output/haptic 1
3484989711 k /user/hand/left/output/haptic 1
3484989711 k /user/hand/right/output/haptic 1
3498878503 k /user/hand/left/output/haptic 1
3498878503 k /user/hand/right/output/haptic 1
3512757013 k /user/hand/left/output/haptic 1
3512757013 k /user/hand/right/output/haptic 1
3526645903 k /user/hand/left/output/haptic 1
3526645903 k /user/hand/right/output/haptic 1
3540530301 k /user/hand/left/output/haptic 1
3540530301 k /user/hand/right/output/haptic 1
3554410913 k /user/hand/left/output/haptic 1
3554410913 k /user/hand/right/output/haptic 1
3568295614 k /user/hand/left/output/haptic 1
3568295614 k /user/hand/right/output/haptic 1
3582180813 k /user/hand/left/output/haptic 1
3582180813 k /user/hand/right/output/haptic 1
3596067814 k /user/hand/left/output/haptic 1
3596067814 k /user/hand/right/output/haptic 1
3609949711 k /user/hand/left/output/haptic 1
3609949711 k /user/hand/right/output/haptic 1
3623834911 k /user/hand/left/output/haptic 1
3623834911 k /user/hand/right/output/haptic 1
3637717314 k /user/hand/left/output/haptic 1
3637717314 k /user/hand/right/output/haptic 1
3651603911 k /user/hand/left/output/haptic 1
3651603911 k /user/hand/right/output/haptic 1
3665492803 k /user/hand/left/output/haptic 1
3665492803 k /user/hand/right/output/haptic 1
3679372314 k /user/hand/left/output/haptic 1
3679372314 k /user/hand/right/output/haptic 1
3693257612 k /user/hand/left/output/haptic 1
3693257612 k /user/hand/right/output/haptic 1
3707142713 k /user/hand/left/output/haptic 1
3707142713 k /user/hand/right/output/haptic 1
3721025914 k /user/hand/left/output/haptic 1
3721025914 k /user/hand/right/output/haptic 1
3734909013 k /user/hand/left/output/haptic 1
3734909013 k /user/hand/right/output/haptic 1
3748797902 k /user/hand/left/output/haptic 1
3748797902 k /user/hand/right/output/haptic 1
3762684901 k /user/hand/left/output/haptic 1
3762684901 k /user/hand/right/output/haptic 1
3776562614 k /user/hand/left/output/haptic 1
3776562614 k /user/hand/right/output/haptic 1
3790451502 k /user/hand/left/output/haptic 1
3790451502 k /user/hand/right/output/haptic 1
3804331011 k /user/hand/left/output/haptic 1
3804331011 k /user/hand/right/output/haptic 1
3818215913 k /user/hand/left/output/haptic 1
3818215913 k /user/hand/right/output/haptic 1
3832100811 k /user/hand/left/output/haptic 1
3832100811 k /user/hand/right/output/haptic 1
3845985014 k /user/hand/left/output/haptic 1
3845985014 k /user/hand/right/output/haptic 1
3859870714 k /user/hand/left/output/haptic 1
3859870714 k /user/hand/right/output/haptic 1
3873754611 k /user/hand/left/output/haptic 1
3873754611 k /user/hand/right/output/haptic 1
3887639214 k /user/hand/left/output/haptic 1
3887639214 k /user/hand/right/output/haptic 1
3901528201 k /user/hand/left/output/haptic 1
3901528201 k /user/hand/right/output/haptic 1
3915412699 k /user/hand/left/output/haptic 1
3915412699 k /user/hand/right/output/haptic 1
3929296898 k /user/hand/left/output/haptic 1
3929296898 k /user/hand/right/output/haptic 1
3943178411 k /user/hand/left/output/haptic 1
3943178411 k /user/hand/right/output/haptic 1
3957062011 k /user/hand/left/output/haptic 1
3957062011 k /user/hand/right/output/haptic 1
3970950901 k /user/hand/left/output/haptic 1
3970950901 k /user/hand/right/output/haptic 1
3984832813 k /user/hand/left/output/haptic 1
3984832813 k /user/hand/right/output/haptic 1
3998714712 k /user/hand/left/output/haptic 1
3998714712 k /user/hand/right/output/haptic 1
4012603601 k /user/hand/left/output/haptic 1
4012603601 k /user/hand/right/output/haptic 1
4026490002 k /user/hand/left/output/haptic 1
4026490002 k /user/hand/right/output/haptic 1
4040369310 k /user/hand/left/output/haptic 1
4040369310 k /user/hand/right/output/haptic 1
4054253711 k /user/hand/left/output/haptic 1
4054253711 k /user/hand/right/output/haptic 1
4068138711 k /user/hand/left/output/haptic 1
4068138711 k /user/hand/right/output/haptic 1
4082027602 k /user/hand/left/output/haptic 1
4082027602 k /user/hand/right/output/haptic 1
4095906910 k /user/hand/left/output/haptic 1
4095906910 k /user/hand/right/output/haptic 1
4109792912 k /user/hand/left/output/haptic 1
4109792912 k /user/hand/right/output/haptic 1
4123676310 k /user/hand/left/output/haptic 1
4123676310 k /user/hand/right/output/haptic 1
4137560310 k /user/hand/left/output/haptic 1
4137560310 k /user/hand/right/output/haptic 1
4151446612 k /user/hand/left/output/haptic 1
4151446612 k /user/hand/right/output/haptic 1
4165330012 k /user/hand/left/output/haptic 1
4165330012 k /user/hand/right/output/haptic 1
4179213712 k /user/hand/left/output/haptic 1
4179213712 k /user/hand/right/output/haptic 1
4193098910 k /user/hand/left/output/haptic 1
4193098910 k /user/hand/right/output/haptic 1
4206983412 k /user/hand/left/output/haptic 1
4206983412 k /user/hand/right/output/haptic 1
4220872301 k /user/hand/left/output/haptic 1
4220872301 k /user/hand/right/output/haptic 1
4234752613 k /user/hand/left/output/haptic 1
4234752613 k /user/hand/right/output/haptic 1
4248641505 k /user/hand/left/output/haptic 1
4248641505 k /user/hand/right/output/haptic 1
4262527799 k /user/hand/left/output/haptic 1
4262527799 k /user/hand/right/output/haptic 1
4276406014 k /user/hand/left/output/haptic 1
4276406014 k /user/hand/right/output/haptic 1
4290291117 k /user/hand/left/output/haptic 1
4290291117 k /user/hand/right/output/haptic 1
4304180006 k /user/hand/left/output/haptic 1
4304180006 k /user/hand/right/output/haptic 1
4318071307 k /user/hand/left/output/haptic 1
4318071307 k /user/hand/right/output/haptic 1
4331948502 k /user/hand/left/output/haptic 1
4331948502 k /user/hand/right/output/haptic 1
4345833797 k /user/hand/left/output/haptic 1
4345833797 k /user/hand/right/output/haptic 1
4359721897 k /user/hand/left/output/haptic 1
4359721897 k /user/hand/right/output/haptic 1
4373603808 k /user/hand/left/output/haptic 1
4373603808 k /user/hand/right/output/haptic 1
4387486799 k /user/hand/left/output/haptic 1
4387486799 k /user/hand/right/output/haptic 1
4401367417 k /user/hand/left/output/haptic 1
4401367417 k /user/hand/right/output/haptic 1
4415252224 k /user/hand/left/output/haptic 1
4415252224 k /user/hand/right/output/haptic 1
4429136323 k /user/hand/left/output/haptic 1
4429136323 k /user/hand/right/output/haptic 1
4443020721 k /user/hand/left/output/haptic 1
4443020721 k /user/hand/right/output/haptic 1
4456904920 k /user/hand/left/output/haptic 1
4456904920 k /user/hand/right/output/haptic 1
4470797819 k /user/hand/left/output/haptic 1
4470797819 k /user/hand/right/output/haptic 1
4498590610 k /user/hand/left/output/haptic 1
4498590610 k /user/hand/right/output/haptic 1
4512479496 k /user/hand/left/output/haptic 1
4512479496 k /user/hand/right/output/haptic 1
4526336611 k /user/hand/left/output/haptic 1
4526336611 k /user/hand/right/output/haptic 1
4540225501 k /user/hand/left/output/haptic 1
4540225501 k /user/hand/right/output/haptic 1
4554114390 k /user/hand/left/output/haptic 1
4554114390 k /user/hand/right/output/haptic 1
4554114390 k /user/hand/left/output/haptic 1
4554114390 k /user/hand/right/output/haptic 1
4567991293 k /user/hand/left/output/haptic 1
4567991293 k /user/hand/right/output/haptic 1
4595760703 k /user/hand/left/output/haptic 1
4595760703 k /user/hand/right/output/haptic 1
4609637408 k /user/hand/left/output/haptic 1
4609637408 k /user/hand/right/output/haptic 1
